release            secs         error(%)
1.8.0       10.548140110 	1.02
1.9.0        9.668368740 	0.17
2.0.0        8.877478111 	0.25
2.1.0        8.684026868 	0.25
2.1.1        9.028023147 	4.39
2.2.0        8.283343194 	0.56
2.3.0        9.764305233 	2.72
2.4.0        8.848113139 	0.46
2.5.0        9.029412536 	2.91
2.6.0        8.781809000 	0.60
2.7.0        8.394088549 	4.11
2.8.0        8.006555133 	0.70
2.9.0       10.024036191 	0.15
2.9.1        9.258991772 	0.36
2.10.0       9.301360462 	0.23
2.10.1       9.339934352 	0.32
2.11.0       9.255326252 	0.16
3.0.0        9.231892740 	0.27
3.1.0       11.164364145 	1.24
3.2.0       11.303540437 	0.39
3.3.0       11.448605784 	0.44
3.4.0       11.929407362 	0.26
3.5.0       12.033267815 	0.25
3.6.0       11.199993453 	0.89
3.7.0       11.137938747 	0.14
3.8.0       10.097507754 	0.21
3.9.0       10.159585045 	0.21
3.10.0      10.323670198 	0.14
3.11.0      10.486785868 	0.19
4.0.0       10.407319137 	0.19
4.1.0       10.574911038 	0.44
4.2.0       10.445002448 	0.15
4.3.0       10.368422478 	0.35
4.4.0       10.435474883 	0.37
4.5.0       10.416064258 	0.14
4.6.0       10.485801277 	0.17
4.7.0       10.421811429 	0.25
4.8.0       10.551825693 	0.08
4.9.0       10.760177716 	0.21
4.10.0      10.686763273 	0.50
4.11.0      10.705404192 	0.14
5.0.0       10.639088220 	0.23
5.1.0       10.654499948 	0.10
5.2.0       10.692080144 	0.25
5.3.0       10.639269433 	0.12
5.4.0       10.663089692 	0.18
5.5.0       10.627909871 	0.28
5.6.0       10.661323758 	0.20
5.7.0       10.691656688 	0.11
5.9.0       10.672666365 	0.54
5.10.0      10.708653052 	0.14
6.0.0       10.589940429 	0.51
6.1.0       10.594964520 	0.25
6.2.0       10.586717226 	0.32
6model      10.505363558 	0.18
0master     10.554795282 	0.37
6.3.0       10.726002114        0.22
6.4.0       10.769352958        0.23
6.5.0       10.510345097        0.24
