release	secs	        err	lo              hi
1_8_0	10.548140110	1.02	10.440549081	10.655731139
1_9_0	9.668368740	0.17	9.651932513	9.684804967
2_0_0	8.877478111	0.25	8.855284416	8.899671806
2_1_0	8.684026868	0.25	8.662316801	8.705736935
2_1_1	9.028023147	4.39	8.631692931	9.424353363
2_2_0	8.283343194	0.56	8.236956472	8.329729916
2_3_0	9.764305233	2.72	9.498716131	10.029894335
2_4_0	8.848113139	0.46	8.807411819	8.888814459
2_5_0	9.029412536	2.91	8.766656631	9.292168441
2_6_0	8.781809000	0.60	8.729118146	8.834499854
2_7_0	8.394088549	4.11	8.049091510	8.739085588
2_8_0	8.006555133	0.70	7.950509247	8.062601019
2_9_0	10.024036191	0.15	10.009000137	10.039072245
2_9_1	9.258991772	0.36	9.225659402	9.292324142
2_10_0	9.301360462	0.23	9.279967333	9.322753591
2_10_1	9.339934352	0.32	9.310046562	9.369822142
2_11_0	9.255326252	0.16	9.240517730	9.270134774
3_0_0	9.231892740	0.27	9.206966630	9.256818850
3_1_0	11.164364145	1.24	11.025926030	11.302802260
3_2_0	11.303540437	0.39	11.259456629	11.347624245
3_3_0	11.448605784	0.44	11.398231919	11.498979649
3_4_0	11.929407362	0.26	11.898390903	11.960423821
3_5_0	12.033267815	0.25	12.003184645	12.063350985
3_6_0	11.199993453	0.89	11.100313511	11.299673395
3_7_0	11.137938747	0.14	11.122345633	11.153531861
3_8_0	10.097507754	0.21	10.076302988	10.118712520
3_9_0	10.159585045	0.21	10.138249916	10.180920174
3_10_0	10.323670198	0.14	10.309217060	10.338123336
3_11_0	10.486785868	0.19	10.466860975	10.506710761
4_0_0	10.407319137	0.19	10.387545231	10.427093043
4_1_0	10.574911038	0.44	10.528381429	10.621440647
4_2_0	10.445002448	0.15	10.429334944	10.460669952
4_3_0	10.368422478	0.35	10.332132999	10.404711957
4_4_0	10.435474883	0.37	10.396863626	10.474086140
4_5_0	10.416064258	0.14	10.401481768	10.430646748
4_6_0	10.485801277	0.17	10.467975415	10.503627139
4_7_0	10.421811429	0.25	10.395756900	10.447865958
4_8_0	10.551825693	0.08	10.543384232	10.560267154
4_9_0	10.760177716	0.21	10.737581343	10.782774089
4_10_0	10.686763273	0.50	10.633329457	10.740197089
4_11_0	10.705404192	0.14	10.690416626	10.720391758
5_0_0	10.639088220	0.23	10.614618317	10.663558123
5_1_0	10.654499948	0.10	10.643845448	10.665154448
5_2_0	10.692080144	0.25	10.665349944	10.718810344
5_3_0	10.639269433	0.12	10.626502310	10.652036556
5_4_0	10.663089692	0.18	10.643896131	10.682283253
5_5_0	10.627909871	0.28	10.598151723	10.657668019
5_6_0	10.661323758	0.20	10.640001110	10.682646406
5_7_0	10.691656688	0.11	10.679895866	10.703417510
5_9_0	10.672666365	0.54	10.615033967	10.730298763
5_10_0	10.708653052	0.14	10.693660938	10.723645166
6_0_0	10.589940429	0.51	10.535931733	10.643949125
6_1_0	10.594964520	0.25	10.568477109	10.621451931
6_2_0	10.586717226	0.32	10.552839731	10.620594721
6model	10.505363558	0.18	10.486453904	10.524273212
pmc2c_orig	10.585417778	0.25	10.558954234	10.611881322
6.3.0	10.726002114	0.22	10.702404909	10.749599319
6.4.0	10.769352958	0.23	10.744583446	10.794122470
pmc2c_orig2	10.510345097	0.24	10.485120269	10.535569925
